event,iteration,timestamp
start,1,2025-10-01T14:11:37.223
end,1,2025-10-01T14:11:37.781
start,2,2025-10-01T14:11:37.781
end,2,2025-10-01T14:11:37.934
start,3,2025-10-01T14:11:37.934
end,3,2025-10-01T14:11:37.943
start,4,2025-10-01T14:11:37.943
end,4,2025-10-01T14:11:37.944
start,5,2025-10-01T14:11:37.944
end,5,2025-10-01T14:11:37.944
start,6,2025-10-01T14:11:37.944
end,6,2025-10-01T14:11:37.945
start,7,2025-10-01T14:11:37.945
end,7,2025-10-01T14:11:37.946
start,8,2025-10-01T14:11:37.946
end,8,2025-10-01T14:11:37.947
start,9,2025-10-01T14:11:37.947
end,9,2025-10-01T14:11:37.947
start,10,2025-10-01T14:11:37.947
end,10,2025-10-01T14:11:37.949
