iteration,free_energy,delta,relative_delta
1,1744.1805884614241,,,
2,1744.1805884614241,0.0,0.0
3,1744.1805884614241,0.0,0.0
4,1744.1805884614241,0.0,0.0
5,1744.1805884614241,0.0,0.0
6,1744.1805884614241,0.0,0.0
7,1744.1805884614241,0.0,0.0
8,1744.1805884614241,0.0,0.0
9,1744.1805884614241,0.0,0.0
10,1744.1805884614241,0.0,0.0
11,1744.1805884614241,0.0,0.0
12,1744.1805884614241,0.0,0.0
13,1744.1805884614241,0.0,0.0
14,1744.1805884614241,0.0,0.0
15,1744.1805884614241,0.0,0.0
16,1744.1805884614241,0.0,0.0
17,1744.1805884614241,0.0,0.0
18,1744.1805884614241,0.0,0.0
19,1744.1805884614241,0.0,0.0
20,1744.1805884614241,0.0,0.0
21,1744.1805884614241,0.0,0.0
22,1744.1805884614241,0.0,0.0
23,1744.1805884614241,0.0,0.0
24,1744.1805884614241,0.0,0.0
25,1744.1805884614241,0.0,0.0
26,1744.1805884614241,0.0,0.0
27,1744.1805884614241,0.0,0.0
28,1744.1805884614241,0.0,0.0
29,1744.1805884614241,0.0,0.0
30,1744.1805884614241,0.0,0.0
31,1744.1805884614241,0.0,0.0
32,1744.1805884614241,0.0,0.0
33,1744.1805884614241,0.0,0.0
34,1744.1805884614241,0.0,0.0
35,1744.1805884614241,0.0,0.0
36,1744.1805884614241,0.0,0.0
37,1744.1805884614241,0.0,0.0
38,1744.1805884614241,0.0,0.0
39,1744.1805884614241,0.0,0.0
40,1744.1805884614241,0.0,0.0
41,1744.1805884614241,0.0,0.0
42,1744.1805884614241,0.0,0.0
43,1744.1805884614241,0.0,0.0
44,1744.1805884614241,0.0,0.0
45,1744.1805884614241,0.0,0.0
46,1744.1805884614241,0.0,0.0
47,1744.1805884614241,0.0,0.0
48,1744.1805884614241,0.0,0.0
49,1744.1805884614241,0.0,0.0
50,1744.1805884614241,0.0,0.0
51,1744.1805884614241,0.0,0.0
52,1744.1805884614241,0.0,0.0
53,1744.1805884614241,0.0,0.0
54,1744.1805884614241,0.0,0.0
55,1744.1805884614241,0.0,0.0
56,1744.1805884614241,0.0,0.0
57,1744.1805884614241,0.0,0.0
58,1744.1805884614241,0.0,0.0
59,1744.1805884614241,0.0,0.0
60,1744.1805884614241,0.0,0.0
61,1744.1805884614241,0.0,0.0
62,1744.1805884614241,0.0,0.0
63,1744.1805884614241,0.0,0.0
64,1744.1805884614241,0.0,0.0
65,1744.1805884614241,0.0,0.0
66,1744.1805884614241,0.0,0.0
67,1744.1805884614241,0.0,0.0
68,1744.1805884614241,0.0,0.0
69,1744.1805884614241,0.0,0.0
70,1744.1805884614241,0.0,0.0
71,1744.1805884614241,0.0,0.0
72,1744.1805884614241,0.0,0.0
73,1744.1805884614241,0.0,0.0
74,1744.1805884614241,0.0,0.0
75,1744.1805884614241,0.0,0.0
76,1744.1805884614241,0.0,0.0
77,1744.1805884614241,0.0,0.0
78,1744.1805884614241,0.0,0.0
79,1744.1805884614241,0.0,0.0
80,1744.1805884614241,0.0,0.0
81,1744.1805884614241,0.0,0.0
82,1744.1805884614241,0.0,0.0
83,1744.1805884614241,0.0,0.0
84,1744.1805884614241,0.0,0.0
85,1744.1805884614241,0.0,0.0
86,1744.1805884614241,0.0,0.0
87,1744.1805884614241,0.0,0.0
88,1744.1805884614241,0.0,0.0
89,1744.1805884614241,0.0,0.0
90,1744.1805884614241,0.0,0.0
91,1744.1805884614241,0.0,0.0
92,1744.1805884614241,0.0,0.0
93,1744.1805884614241,0.0,0.0
94,1744.1805884614241,0.0,0.0
95,1744.1805884614241,0.0,0.0
96,1744.1805884614241,0.0,0.0
97,1744.1805884614241,0.0,0.0
98,1744.1805884614241,0.0,0.0
99,1744.1805884614241,0.0,0.0
100,1744.1805884614241,0.0,0.0
