step,free_energy,entropy
1,NaN,0.002715083734356505
2,NaN,0.0026893600858069943
3,NaN,0.0026631454481430596
4,NaN,0.002636930972137732
5,NaN,0.0026107143312020095
6,NaN,0.0020671074483431446
7,NaN,0.001816166758473637
8,NaN,0.0010526015589550374
9,NaN,0.0015781587588194622
10,NaN,0.0009520798323839037
11,NaN,0.0006761298647674862
12,NaN,0.0008976985378103233
13,NaN,0.001397052220804889
14,NaN,0.0008640401549305085
15,NaN,0.0004951093105814261
16,NaN,0.0006169208997018569
17,NaN,0.0006102738455312736
18,NaN,0.0006045469829206249
19,NaN,0.0004751175806201501
20,NaN,0.0004716314514638637
21,NaN,0.0003888857856743186
22,NaN,0.0004657650027262586
23,NaN,0.00038453129219481025
24,NaN,0.00038268470295439846
25,NaN,0.0003261752602263608
26,NaN,0.00037968257301801677
27,NaN,0.0003250713671880822
28,NaN,0.0003321423832059
29,NaN,0.00034075613139466376
30,NaN,0.0003909956888521924
